In episode 0, the reward is 1.0
In episode 1, the reward is 1.0
In episode 2, the reward is 1.0
In episode 3, the reward is 1.0
In episode 4, the reward is 1.0
In episode 5, the reward is 1.0
In episode 6, the reward is 1.0
In episode 7, the reward is 1.0
In episode 8, the reward is 1.0
In episode 9, the reward is 1.0
In episode 10, the reward is 1.0
In episode 11, the reward is 1.0
In episode 12, the reward is 1.0
In episode 13, the reward is 1.0
In episode 14, the reward is 1.0
In episode 15, the reward is 1.0
In episode 16, the reward is 1.0
In episode 17, the reward is 1.0
In episode 18, the reward is 1.0
In episode 19, the reward is 1.0
In episode 20, the reward is 1.0
In episode 21, the reward is 1.0
In episode 22, the reward is 1.0
In episode 23, the reward is 1.0
In episode 24, the reward is 1.0
In episode 25, the reward is 1.0
In episode 26, the reward is 1.0
